id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1548197863011692546,1548197863011692546,2022-07-15 23:48:29 Pacific Daylight Time,2022-07-15,23:48:29,-0700,21447363,katyperry,KATY PERRY,,what are you WOMANifesting this weekend? listen to @cynthialovely’s  “house with a view” while you do it 🧘🏻‍♀️🔮💫  https://t.co/5LtFOBGiIM  https://t.co/k7OmGf8JY0,en,"[{'screen_name': 'cynthialovely', 'name': 'cyn aka lulu', 'id': '30791425'}]",['https://KP.lnk.to/HWAV'],"['https://pbs.twimg.com/media/FXxNvpuVQAIG6Ah.jpg', 'https://pbs.twimg.com/media/FXxNvpsVQAEElN6.jpg', 'https://pbs.twimg.com/media/FXxNvpwVQAEbdUN.jpg', 'https://pbs.twimg.com/media/FXxNvpvUcAEtvFQ.jpg']",289,792,6558,[],[],https://twitter.com/katyperry/status/1548197863011692546,False,,1,https://pbs.twimg.com/media/FXxNvpuVQAIG6Ah.jpg,,,,,,,[],,,,
1547646345422393347,1547646345422393347,2022-07-14 11:16:57 Pacific Daylight Time,2022-07-14,11:16:57,-0700,21447363,katyperry,KATY PERRY,,donate to @cynthialovely’s house with a view fund by streaming her new song out at midnight 🏠 😎#richbitchavenue   https://t.co/1MeEqQwCpk  https://t.co/oQIyLbvy8k,en,"[{'screen_name': 'cynthialovely', 'name': 'cyn aka lulu', 'id': '30791425'}]",['https://cyn.lnk.to/housewithaviewMP'],[],302,761,5141,['richbitchavenue'],[],https://twitter.com/katyperry/status/1547646345422393347,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1547646253529325569/pu/img/SZLMxrWkdiT4UdvQ.jpg,,,,,,,[],,,,
1547589423730024450,1547589423730024450,2022-07-14 07:30:46 Pacific Daylight Time,2022-07-14,07:30:46,-0700,21447363,katyperry,KATY PERRY,,Come along with me and @refinery29 as we play PROP OR NOT:  https://t.co/jMaKi9nVY2,en,"[{'screen_name': 'refinery29', 'name': 'refinery29', 'id': '19546942'}]",['https://youtu.be/m0i93XV_Ni4'],[],211,424,3087,[],[],https://twitter.com/katyperry/status/1547589423730024450,False,,0,,,,,,,,[],,,,
1547402992638251008,1547402992638251008,2022-07-13 19:09:57 Pacific Daylight Time,2022-07-13,19:09:57,-0700,21447363,katyperry,KATY PERRY,,"ive never felt more vulnerable than I do now with literally only one, lone, last, dangling eyelash extension 🫠",en,[],[],[],1290,1173,13338,[],[],https://twitter.com/katyperry/status/1547402992638251008,False,,0,,,,,,,,[],,,,
1547073321111498752,1547073321111498752,2022-07-12 21:19:57 Pacific Daylight Time,2022-07-12,21:19:57,-0700,21447363,katyperry,KATY PERRY,,"no worries if you’re not on a Eurotrip, vacation is a state of mind 😎🌊🏖 #shoesdaytuesday @kpcollections  https://t.co/cMTTnJn6ks",en,"[{'screen_name': 'kpcollections', 'name': 'katy perry shoes', 'id': '784152188092190720'}]",[],"['https://pbs.twimg.com/media/FXhO-7zUcAAywrR.jpg', 'https://pbs.twimg.com/media/FXhO-7yUYAAAgnN.jpg', 'https://pbs.twimg.com/media/FXhO-7zUsAAbDOk.jpg', 'https://pbs.twimg.com/media/FXhO-7zUUAEmM8n.jpg']",304,398,4733,['shoesdaytuesday'],[],https://twitter.com/katyperry/status/1547073321111498752,False,,1,https://pbs.twimg.com/media/FXhO-7zUcAAywrR.jpg,,,,,,,[],,,,
1545248834388799488,1545248834388799488,2022-07-07 20:30:06 Pacific Daylight Time,2022-07-07,20:30:06,-0700,21447363,katyperry,KATY PERRY,,Y’all today is THEEE NATIONAL #THIRSTYTHURSDAY (idk I don’t make the rules) 🤷🏻‍♀️ newayz quench yer thirst with a bottle of @drinkdesoi  https://t.co/PqLPBu8X2i,en,"[{'screen_name': 'drinkdesoi', 'name': 'desoi', 'id': '1414656466443718660'}]",[],['https://pbs.twimg.com/media/FXHTnpmUEAAXakf.jpg'],273,318,3432,['thirstythursday'],[],https://twitter.com/katyperry/status/1545248834388799488,False,,1,https://pbs.twimg.com/media/FXHTnpmUEAAXakf.jpg,,,,,,,[],,,,
1544535606054641664,1544535606054641664,2022-07-05 21:15:59 Pacific Daylight Time,2022-07-05,21:15:59,-0700,21447363,katyperry,KATY PERRY,,Take that strut all over the world! @kpcollections now delivers internationally 🌎🌍🌏 via our partners @wolfandbadger 🤸🏻🎉  https://t.co/3BRtTCsjnS,en,"[{'screen_name': 'kpcollections', 'name': 'katy perry shoes', 'id': '784152188092190720'}, {'screen_name': 'wolfandbadger', 'name': 'wolf & badger', 'id': '113167963'}]",[],"['https://pbs.twimg.com/media/FW9K8d9UsAASKlh.jpg', 'https://pbs.twimg.com/media/FW9K8d8VUAEJarp.jpg']",259,410,4614,[],[],https://twitter.com/katyperry/status/1544535606054641664,False,,1,https://pbs.twimg.com/media/FW9K8d9UsAASKlh.jpg,,,,,,,[],,,,
1543893624865583104,1543893624865583104,2022-07-04 02:44:58 Pacific Daylight Time,2022-07-04,02:44:58,-0700,21447363,katyperry,KATY PERRY,,“Baby you’re a firework” is a 10 but women in the US have fewer rights than an actual sparkler smh,en,[],[],[],6509,16166,143345,[],[],https://twitter.com/katyperry/status/1543893624865583104,False,,0,,,,,,,,[],,,,
1542360422892056577,1542360422892056577,2022-06-29 21:12:35 Pacific Daylight Time,2022-06-29,21:12:35,-0700,21447363,katyperry,KATY PERRY,,go off Queen,en,[],[],[],485,1247,15303,[],[],https://twitter.com/katyperry/status/1542360422892056577,False,https://twitter.com/halsey/status/1542211038245945345,0,,,,,,,,[],,,,
1542012040343977985,1542012040343977985,2022-06-28 22:08:14 Pacific Daylight Time,2022-06-28,22:08:14,-0700,21447363,katyperry,KATY PERRY,,Introducing the Geli loafer! Now u can wear a classic loafer that’s elevated with the fun n famous @kpcollections Geli sole for that ✨POP✨ of color n personality cause that’s what 🤌🏼FasHuN🤌🏼 is all about isn’t it? Errr no idc🤸🏻‍♀️ #shoesdaytuesday  https://t.co/vtUOp0wqIJ,en,"[{'screen_name': 'kpcollections', 'name': 'katy perry shoes', 'id': '784152188092190720'}]",[],"['https://pbs.twimg.com/media/FWZTxnfUsAA5bR8.jpg', 'https://pbs.twimg.com/media/FWZTxndUAAITta6.jpg', 'https://pbs.twimg.com/media/FWZTxnfUsAExrK_.jpg', 'https://pbs.twimg.com/media/FWZTxneUcAI0SO-.jpg']",213,455,4771,['shoesdaytuesday'],[],https://twitter.com/katyperry/status/1542012040343977985,False,,1,https://pbs.twimg.com/media/FWZTxnfUsAA5bR8.jpg,,,,,,,[],,,,
1541934994276249600,1541934994276249600,2022-06-28 17:02:05 Pacific Daylight Time,2022-06-28,17:02:05,-0700,21447363,katyperry,KATY PERRY,,omg lez duet ily Meg THEE katycat @theestallion 😘,en,"[{'screen_name': 'theestallion', 'name': 'tina snow', 'id': '104040220'}]",[],[],930,4532,46808,[],[],https://twitter.com/katyperry/status/1541934994276249600,False,https://twitter.com/ChrisAntonacci1/status/1541918233955008529,0,,,,,,,,[],,,,
1541435956967792640,1541435625315762177,2022-06-27 07:59:05 Pacific Daylight Time,2022-06-27,07:59:05,-0700,21447363,katyperry,KATY PERRY,,"So! You too can enjoy subs in the tub in a lettuce bra 🥪🛁🥬 while feeling good about raising money for a great cause! ♥️Donate and enter at  https://t.co/3LBxoWdVVK for a chance to win a LEWK + a signed note from moi 🙋🏻‍♀️  https://t.co/Z2VKQTziAL",en,[],['https://bit.ly/3yhD72q'],['https://pbs.twimg.com/media/FWRH1PeUYAEcomy.jpg'],104,343,3080,[],[],https://twitter.com/katyperry/status/1541435956967792640,False,,1,https://pbs.twimg.com/media/FWRH1PeUYAEcomy.jpg,,,,,,,[],,,,
1541435625315762177,1541435625315762177,2022-06-27 07:57:46 Pacific Daylight Time,2022-06-27,07:57:46,-0700,21447363,katyperry,KATY PERRY,,"🛎 RING DING DONG 🛎Erm… have you seen my WILD outfits in the @Justeatdk spot? Welllll to raisemoney for @WCKitchen - an amazing charity that works so hard to fighthunger and deliver fresh meals to those in crisis - I’m giving away some of my fav outfits from the shoot!  https://t.co/s56blY0evt",en,"[{'screen_name': 'justeatdk', 'name': 'just eat', 'id': '24575218'}, {'screen_name': 'wckitchen', 'name': 'world central kitchen', 'id': '156653779'}]",[],"['https://pbs.twimg.com/media/FWRHh55UEAMImgA.jpg', 'https://pbs.twimg.com/media/FWRHh56UsAAwFFM.jpg', 'https://pbs.twimg.com/media/FWRHh56UUAAvIu-.jpg']",287,852,7468,[],[],https://twitter.com/katyperry/status/1541435625315762177,False,,1,https://pbs.twimg.com/media/FWRHh55UEAMImgA.jpg,,,,,,,[],,,,
1540672256376213505,1540672256376213505,2022-06-25 05:24:24 Pacific Daylight Time,2022-06-25,05:24:24,-0700,21447363,katyperry,KATY PERRY,,dang all the planets comin out to see this shit show. 👽,en,[],[],[],337,1557,14698,[],[],https://twitter.com/katyperry/status/1540672256376213505,False,https://twitter.com/SPACEdotcom/status/1540441227350478848,0,,,,,,,,[],,,,
1539822962672431105,1539822962672431105,2022-06-22 21:09:37 Pacific Daylight Time,2022-06-22,21:09:37,-0700,21447363,katyperry,KATY PERRY,,the day the chip bag is properly clipped closed is the day the boy becomes a man,en,[],[],[],660,926,11112,[],[],https://twitter.com/katyperry/status/1539822962672431105,False,,0,,,,,,,,[],,,,
1539213778407292933,1539213778407292933,2022-06-21 04:48:56 Pacific Daylight Time,2022-06-21,04:48:56,-0700,21447363,katyperry,KATY PERRY,,monopoly deal addicts anonymous 🙋🏻‍♀️,en,[],[],[],632,707,8427,[],[],https://twitter.com/katyperry/status/1539213778407292933,False,,0,,,,,,,,[],,,,
1537633891799838720,1537633891799838720,2022-06-16 20:11:02 Pacific Daylight Time,2022-06-16,20:11:02,-0700,21447363,katyperry,KATY PERRY,,Nightcap anyone? Which one are you pouring tonight? 1. Golden Hour 🌅 2. Purple Lune 💜 3. Champignon Dreams 🍄  Tell me 👇🏼 @drinkdesoi  https://t.co/ChS03hKKEa,en,"[{'screen_name': 'drinkdesoi', 'name': 'desoi', 'id': '1414656466443718660'}]",[],"['https://pbs.twimg.com/media/FVbF3vhUYAIang6.jpg', 'https://pbs.twimg.com/media/FVbF3viUUAAo9ya.jpg', 'https://pbs.twimg.com/media/FVbF3viUUAEgVj6.jpg', 'https://pbs.twimg.com/media/FVbF3viUsAEKco4.jpg']",278,371,3938,[],[],https://twitter.com/katyperry/status/1537633891799838720,False,,1,https://pbs.twimg.com/media/FVbF3vhUYAIang6.jpg,,,,,,,[],,,,
1537540221675266048,1537540221675266048,2022-06-16 13:58:49 Pacific Daylight Time,2022-06-16,13:58:49,-0700,21447363,katyperry,KATY PERRY,,thank u @lasvegasweekly 🙏🏼 see u again in July  https://t.co/eux5dOL6Ve  https://t.co/vZWc33370O,en,"[{'screen_name': 'lasvegasweekly', 'name': 'las vegas weekly', 'id': '9234352'}]",['http://axs.com/katyinvegas'],['https://pbs.twimg.com/media/FVZwrriUcAA3Zu0.jpg'],260,694,5791,[],[],https://twitter.com/katyperry/status/1537540221675266048,False,,1,https://pbs.twimg.com/media/FVZwrriUcAA3Zu0.jpg,,,,,,,[],,,,
1536745187434606592,1536745187434606592,2022-06-14 09:19:38 Pacific Daylight Time,2022-06-14,09:19:38,-0700,21447363,katyperry,KATY PERRY,,pas de bourree in ur ballet 🩰 for some ballet flat dreamzzz for ur comfy n cozy #shoesdaytuesday @kpcollections  https://t.co/JbYueyxWn6,en,"[{'screen_name': 'kpcollections', 'name': 'katy perry shoes', 'id': '784152188092190720'}]",[],"['https://pbs.twimg.com/media/FVOdmlaUEAAGG6O.jpg', 'https://pbs.twimg.com/media/FVOdmlaVIAAeorj.jpg', 'https://pbs.twimg.com/media/FVOdmlbVsAAMYUd.jpg', 'https://pbs.twimg.com/media/FVOdmlXUsAUM6_0.jpg']",237,434,4160,['shoesdaytuesday'],[],https://twitter.com/katyperry/status/1536745187434606592,False,,1,https://pbs.twimg.com/media/FVOdmlaUEAAGG6O.jpg,,,,,,,[],,,,
1535048144840298496,1535048144840298496,2022-06-09 16:56:12 Pacific Daylight Time,2022-06-09,16:56:12,-0700,21447363,katyperry,KATY PERRY,,It was the 🟡HIGHLIGHT🟡 of my day yesterday receiving the 🗝 to the strip 💛 it’s been so fun getting to PLAY in Vegas and I’ve felt so welcomed by the community 🤗 idk what doors this opens but i might try to crash some hotel rooms now 😈  https://t.co/Jjq68IWACI,en,[],[],"['https://pbs.twimg.com/media/FU2WJfXVEAA2c3g.jpg', 'https://pbs.twimg.com/media/FU2WJfWUAAEmbiE.jpg', 'https://pbs.twimg.com/media/FU2WJfYUsAEXruM.jpg', 'https://pbs.twimg.com/media/FU2WJfXVsAAwTDE.jpg']",543,1498,12701,[],[],https://twitter.com/katyperry/status/1535048144840298496,False,,1,https://pbs.twimg.com/media/FU2WJfXVEAA2c3g.jpg,,,,,,,[],,,,
